# Mag       Xrel    Yrel  Bx      By        Bz      x         y        z        rx       ry       rz
  144.80     10      0     8.47   133.67    52.59   0.0260  -0.5987   0.2322   2.9278  -1.0700   0.1790
  140.67     10      5     8.02   129.98    50.45   0.0228  -0.6025   0.2319   2.9280  -1.0699   0.1791
  136.18     10     10     7.22   130.74    36.15   0.0195  -0.6063   0.2321   2.9280  -1.0698   0.1790
  128.80     10     15     6.55   125.71    27.24   0.0163  -0.6101   0.2320   2.9280  -1.0701   0.1790
  127.04     10     20     6.69   122.66    30.41   0.0131  -0.6139   0.2317   2.9281  -1.0700   0.1790
  123.72     15    -20     8.58   117.54    36.81   0.0428  -0.5866   0.2321   2.9278  -1.0699   0.1791
  131.75     15    -15     8.45   123.00    44.25   0.0393  -0.5903   0.2336   2.9278  -1.0702   0.1790
  134.69     15    -10     8.22   126.98    42.13   0.0362  -0.5942   0.2334   2.9280  -1.0700   0.1791
  136.92     15     -5     7.35   127.10    47.85   0.0330  -0.5980   0.2332   2.9280  -1.0699   0.1790
  137.09     15      0     7.01   129.90    40.78   0.0125  -0.6069   0.2314   2.9279  -1.0701   0.1790
  136.84     15      5     7.48   129.82    39.76   0.0265  -0.6057   0.2329   2.9279  -1.0702   0.1789
  134.12     15     10     7.15   127.94    38.42   0.0234  -0.6095   0.2327   2.9279  -1.0700   0.1789
  130.67     15     15     7.33   120.75    46.39   0.0201  -0.6133   0.2324   2.9279  -1.0700   0.1790
  131.72     15     20     7.08   126.47    33.70   0.0169  -0.6171   0.2324   2.9280  -1.0701   0.1790
  112.77     20    -20     8.12   105.19    38.89   0.0464  -0.5897   0.2342   2.9279  -1.0700   0.1790
  127.93     20    -15     8.05   119.26    42.73   0.0432  -0.5936   0.2341   2.9279  -1.0700   0.1789
  129.51     20    -10     8.19   121.37    41.83   0.0400  -0.5974   0.2338   2.9280  -1.0700   0.1791
  133.99     20     -5     7.61   122.39    53.12   0.0368  -0.6013   0.2330   2.9278  -1.0699   0.1790
  130.88     20      0     7.45   121.65    45.08   0.0335  -0.6050   0.2337   2.9280  -1.0700   0.1789
  125.69     20      5     7.14   121.83    29.67   0.0303  -0.6088   0.2337   2.9280  -1.0700   0.1790
  128.83     20     10     7.16   123.14    35.41   0.0271  -0.6127   0.2335   2.9280  -1.0700   0.1790
  125.88     20     15     6.26   119.56    36.52   0.0239  -0.6165   0.2331   2.9280  -1.0701   0.1789
  120.70     20     20     5.62   112.93    41.17   0.0207  -0.6204   0.2326   2.9279  -1.0701   0.1790
